Demand ID; Started at; Source Node; Destination node; Bitrate; Duration; Is success; Links in path; Path length; Is shortest path; Required core; Required index
15110; 1043; 25; 8; 754; 4; True; [38, 76]; 921; True; 0; 34
15143; 1045; 7; 23; 741; 3; False; [26, 40, 54]; 1469; True; None; None
15043; 1039; 5; 4; 104; 9; True; [9, 19, 23, 27]; 1222; True; 0; 0
15150; 1046; 22; 4; 565; 2; False; [24, 38, 52, 69, 70]; 2495; True; None; None
15151; 1046; 0; 11; 659; 2; False; [1, 13, 26]; 1473; True; None; None
15156; 1046; 0; 7; 778; 2; False; [1, 13]; 1092; True; None; None
14696; 1018; 26; 7; 256; 30; True; [25, 28, 38, 76, 79, 80]; 3129; True; 0; 295
14820; 1026; 25; 6; 788; 22; False; [22, 25, 28, 38, 76]; 2002; True; None; None
15126; 1045; 6; 14; 203; 3; True; [23, 30, 37]; 1261; True; 0; 68
15165; 1047; 1; 23; 120; 1; True; [4, 9, 13, 26, 40, 54]; 2673; True; 0; 229
15176; 1048; 11; 0; 329; 5; False; None; None; None; None; None
15133; 1045; 19; 24; 983; 3; False; [1, 13, 26, 41, 61]; 2938; True; None; None
15134; 1045; 22; 14; 121; 3; True; [67]; 551; True; 0; 7
15108; 1043; 5; 17; 625; 5; False; [7, 19, 21]; 1565; True; None; None
15114; 1043; 14; 1; 242; 6; False; [9, 11, 27, 34, 49]; 2263; True; None; None
15129; 1045; 26; 6; 135; 4; True; [22, 25, 28, 38, 76, 79, 80]; 3347; True; 0; 21
15042; 1039; 20; 17; 145; 10; True; [0, 7, 58, 61, 64]; 3247; True; 0; 297
15193; 1049; 26; 0; 912; 1; False; None; None; None; None; None
